id,word,stem,lang,category,timestamp,profileid
ja:未だ,未だ,いま‐だ,ja,100,1509069110217,
ja:黄金時代,黄金時代,おうごん‐じだい,ja,100,1509075377541,
ja:肥大,肥大,ひ‐だい,ja,100,1509075516247,
ja:名残,名残,なごり,ja,100,1509075372586,
ja:バリバリ,バリバリ,ばり‐ばり,ja,100,1509075222413,
ja:土地勘,土地勘,とち‐かん,ja,0,1509113005702,
ja:ピリオド,ピリオド,ピリオド,ja,0,1509110948111,
ja:有する,有する,ゆう・する,ja,0,1509112920003,
ja:オカルト,オカルト,オカルト,ja,0,1509112639608,
ja:徹する,徹する,てっ・する,ja,0,1509113251265,
ja:下級生,下級生,かきゅう‐せい,ja,0,1509113518867,
ja:ゆかり,ゆかり,ゆかり,ja,0,1509113037288,
ja:作への,作への,さ,ja,0,1509113926773,
ja:まっぴら,まっぴら,まっ‐ぴら,ja,0,1509113963749,
ja:ほっと,ほっと,ホット,ja,0,1509111175008,
ja:なんて,なんて,なんて,ja,0,1509113464751,
ja:真っ当,真っ当,まっとう,ja,0,1509113339018,
ja:ちまちま,ちまちま,ちま‐ちま,ja,0,1509114342733,
ja:出不精,出不精,で‐ぶしょう,ja,0,1509112400021,
ja:あぶる,あぶる,あぶ・る,ja,0,1509112656477,
ja:すんなり,すんなり,すんなり,ja,0,1509113194648,
ja:外堀,外堀,そと‐ぼり,ja,0,1509114431927,
ja:道,道,じ,ja,0,1509113173004,
ja:隙間産業,隙間産業,すきま‐さんぎょう,ja,0,1509110991161,
ja:乙,乙,いつ,ja,0,1509113053778,
ja:匙,匙,かい,ja,0,1509112602668,
ja:ほ,ほ,ほ,ja,0,1509113763485,
ja:愛,愛,あい,ja,0,1509113467629,
ja:我が物顔,我が物顔,わがもの‐がお,ja,0,1509112489731,
ja:無理強い,無理強い,むり‐じい,ja,0,1509113940856,
ja:筋書き,筋書き,すじ‐がき,ja,0,1509113808940,
ja:遠ざける,遠ざける,とお‐ざ・ける,ja,0,1509114027513,
ja:初手,初手,しょ‐て,ja,0,1509112422208,
ja:頑なに,頑なに,かた‐くな,ja,0,1509113421995,
ja:フットワーク,フットワーク,フットワーク,ja,0,1509113664042,
ja:豪語,豪語,ごう‐ご,ja,0,1509112882512,
ja:血液,血液,けつ‐えき,ja,0,1509111126339,
